 
 SAP2000 v18.2.0 File: FRAME  N, mm, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  NLDHIST_1g
 FUNCTION  Joint2-1:  Joint 2  Displacement  UX    
 
       TIME    FUNCTION
               Joint2-1
         0.     0.09708
       0.02     0.12663
       0.04     0.23777
       0.06     0.43354
       0.08     0.67369
        0.1     0.92524
       0.12     1.16812
       0.14     1.37732
       0.16       1.512
       0.18     1.53006
        0.2     1.41098
       0.22     1.18146
       0.24     0.91792
       0.26     0.70637
       0.28     0.59472
        0.3     0.58299
       0.32     0.64373
       0.34     0.73451
       0.36     0.80502
       0.38     0.82135
        0.4     0.80128
       0.42     0.80675
       0.44     0.88832
       0.46     1.01568
       0.48     1.07158
        0.5     0.92896
       0.52     0.57819
       0.54     0.17437
       0.56    -0.11565
       0.58    -0.19847
        0.6    -0.01004
       0.62     0.48113
       0.64     1.23705
       0.66     2.10107
       0.68     2.85769
        0.7     3.35056
       0.72     3.48915
       0.74      3.2185
       0.76     2.50912
       0.78     1.37118
        0.8    -0.12041
       0.82    -1.80152
       0.84    -3.44783
       0.86    -4.87265
       0.88    -5.94294
        0.9    -6.51569
       0.92    -6.45238
       0.94    -5.69239
       0.96    -4.29333
       0.98    -2.47696
         1.    -0.61439
       1.02     0.88541
       1.04      1.6635
       1.06     1.48054
       1.08     0.31674
        1.1    -1.59371
       1.12    -3.82284
       1.14     -5.8759
       1.16    -7.26849
       1.18    -7.43391
        1.2    -5.87313
       1.22    -2.60327
       1.24     1.76068
       1.26     6.30783
       1.28    10.07208
        1.3    12.21721
       1.32    12.19807
       1.34     9.83731
       1.36     5.33661
       1.38    -0.78627
        1.4    -7.77943
       1.42   -14.76446
       1.44   -20.79604
       1.46   -24.84688
       1.48   -26.02276
        1.5   -23.94259
       1.52   -18.90516
       1.54    -11.7532
       1.56    -3.66709
       1.58     3.97253
        1.6     9.78066
       1.62    12.91209
       1.64    13.79012
       1.66    13.67941
       1.68     13.4032
        1.7    13.14088
       1.72    12.87941
       1.74       12.53
       1.76    12.04916
       1.78    11.50769
        1.8     11.0178
       1.82    10.64087
       1.84    10.27917
       1.86     9.71844
       1.88     8.75003
        1.9     7.20308
       1.92     4.94923
       1.94      1.9423
       1.96    -1.74923
       1.98     -5.9483
         2.   -10.39876
       2.02    -14.8031
       2.04   -18.87425
       2.06   -22.37567
       2.08   -25.11504
        2.1   -26.94609
       2.12   -27.80768
       2.14    -27.5669
       2.16   -25.87086
       2.18   -21.61432
        2.2   -13.13928
       2.22    -0.47912
       2.24    14.21674
       2.26    28.21217
       2.28    38.74729
        2.3    43.55661
       2.32    41.40905
       2.34    32.29321
       2.36    17.37175
       2.38    -1.22909
        2.4   -20.81565
       2.42   -38.21002
       2.44   -49.18928
       2.46   -50.21595
       2.48   -40.87762
        2.5    -23.2061
       2.52    -0.66024
       2.54    22.33127
       2.56    41.64695
       2.58    54.76044
        2.6    60.43446
       2.62    57.98499
       2.64    47.76704
       2.66    31.37146
       2.68    11.30826
        2.7    -9.33514
       2.72   -27.40294
       2.74   -40.19405
       2.76   -45.90462
       2.78   -43.91248
        2.8   -34.72935
       2.82   -19.75512
       2.84    -1.14515
       2.86    18.33552
       2.88    35.56715
        2.9     47.5931
       2.92     52.2737
       2.94    48.66462
       2.96     37.1617
       2.98    19.45096
         3.    -1.76216
       3.02   -22.93121
       3.04   -40.12947
       3.06   -50.27997
       3.08      -51.89
        3.1   -44.98162
       3.12   -31.03158
       3.14   -12.70956
       3.16     6.61335
       3.18    23.44807
        3.2    35.15367
       3.22    40.39941
       3.24     38.5575
       3.26     29.7479
       3.28    15.19376
        3.3     -3.0031
       3.32   -22.18072
       3.34   -38.73226
       3.36   -48.40492
       3.38    -48.8123
        3.4   -40.24574
       3.42   -24.62131
       3.44    -5.12976
       3.46    14.94873
       3.48    33.19314
        3.5    47.19798
       3.52    54.60025
       3.54    54.06446
       3.56    45.50231
       3.58     30.0869
        3.6    10.16007
       3.62   -10.93637
       3.64   -29.52457
       3.66   -42.59234
       3.68   -48.18114
        3.7   -45.59185
       3.72   -35.53578
       3.74   -19.98413
       3.76    -1.77185
       3.78    16.05432
        3.8    30.79944
       3.82    40.35797
       3.84    43.29647
       3.86    39.03585
       3.88    28.08668
        3.9    12.01668
       3.92    -6.81436
       3.94    -25.6215
       3.96   -41.61953
       3.98   -52.04568
         4.    -54.4712
       4.02   -48.05699
       4.04   -33.97222
       4.06    -14.6018
       4.08     7.00975
        4.1    27.33525
       4.12    42.87649
       4.14    50.91597
       4.16    49.97724
       4.18    40.05244
        4.2     22.6058
       4.22      0.3224
       4.24   -23.34143
       4.26   -44.73414
       4.28   -60.53833
        4.3   -68.34304
       4.32   -67.03719
       4.34   -56.74132
       4.36   -38.25823
       4.38   -13.40757
        4.4    13.93171
       4.42    38.89662
       4.44    57.53342
       4.46    67.45807
       4.48     67.9636
        4.5    59.64143
       4.52    43.87654
       4.54    22.95698
       4.56    -0.01196
       4.58    -21.7438
        4.6    -39.2427
       4.62   -50.24316
       4.64   -53.63885
       4.66   -49.53342
       4.68   -38.54961
        4.7   -21.66786
       4.72    -1.27984
       4.74    18.96481
       4.76    35.34064
       4.78    44.72694
        4.8    45.14213
       4.82    36.06151
       4.84    18.84647
       4.86    -2.48352
       4.88   -22.59598
        4.9   -37.50967
       4.92   -44.91063
       4.94   -43.85106
       4.96   -34.64726
       4.98    -18.3549
         5.     2.80851
       5.02    25.29613
       5.04    45.17339
       5.06       58.93
       5.08    64.05509
        5.1    59.46517
       5.12    45.77798
       5.14    25.47218
       5.16      2.3279
       5.18   -19.63232
        5.2   -36.81089
       5.22   -46.55631
       5.24    -47.6086
       5.26   -40.24658
       5.28   -25.91399
        5.3    -6.50639
       5.32    15.20317
       5.34     35.4296
       5.36    50.53627
       5.38     57.7262
        5.4    55.46162
       5.42    43.79423
       5.44    24.36746
       5.46      0.3546
       5.48   -23.99515
        5.5    -44.3315
       5.52   -57.22063
       5.54    -60.7514
       5.56   -54.69179
       5.58   -40.42866
        5.6   -20.70805
       5.62      0.8454
       5.64    20.35469
       5.66    34.56617
       5.68    41.60107
        5.7    40.99188
       5.72    33.29509
       5.74    19.88803
       5.76     2.94324
       5.78   -14.71657
        5.8   -29.97073
       5.82   -40.04935
       5.84   -43.21476
       5.86   -38.98425
       5.88    -28.0702
        5.9   -12.32077
       5.92     5.54569
       5.94    22.42507
       5.96    35.33057
       5.98     41.9243
         6.    41.09188
       6.02    33.24214
       6.04    20.09208
       6.06     4.07665
       6.08   -12.24895
        6.1   -26.42576
       6.12   -36.16678
       6.14   -39.76501
       6.16   -36.66269
       6.18   -27.56172
        6.2   -14.17565
       6.22     1.07898
       6.24    15.64262
       6.26    27.32295
       6.28    34.43788
        6.3    35.91726
       6.32    31.50655
       6.34    21.92948
       6.36     8.85486
       6.38    -5.45856
        6.4   -18.63505
       6.42   -28.54836
       6.44   -33.63781
       6.46    -33.1078
       6.48    -26.9654
        6.5   -16.07158
       6.52    -2.18712
       6.54     12.2979
       6.56    24.91432
       6.58    33.54688
        6.6    36.73265
       6.62    33.86082
       6.64    25.39558
       6.66    12.89184
       6.68    -1.48657
        6.7   -15.36157
       6.72     -26.419
       6.74   -32.83738
       6.76   -33.62977
       6.78   -28.79389
        6.8   -19.29267
       6.82    -6.88163
       6.84     6.15476
       6.86    17.41125
       6.88     25.0703
        6.9    28.32672
       6.92    27.05226
       6.94    21.52288
       6.96    12.55338
       6.98     1.55581
         7.    -9.55458
       7.02   -18.69576
       7.04   -24.17635
       7.06   -25.13539
       7.08   -21.62988
        7.1   -14.48819
       7.12     -5.1263
       7.14     4.71722
       7.16    13.39358
       7.18    19.69169
        7.2    22.84033
       7.22    22.41622
       7.24    18.50141
       7.26    11.79049
       7.28     3.39207
        7.3     -5.3835
       7.32   -13.18575
       7.34   -18.84377
       7.36   -21.52702
       7.38   -20.79481
        7.4   -16.68267
       7.42    -9.86889
       7.44      -1.659
       7.46      6.3759
       7.48    12.89608
        7.5      17.014
       7.52    18.23884
       7.54     16.4839
       7.56    12.07725
       7.58     5.72009
        7.6    -1.60564
       7.62    -8.81089
       7.64   -14.85479
       7.66   -18.87011
       7.68   -20.23161
        7.7   -18.67209
       7.72    -14.4737
       7.74    -8.48933
       7.76    -1.76955
       7.78     4.71555
        7.8    10.06362
       7.82    13.64243
       7.84    15.13994
       7.86    14.47768
       7.88     11.8848
        7.9     7.87051
       7.92     3.13491
       7.94    -1.53067
       7.96    -5.46205
       7.98      -8.293
         8.    -9.69834
       8.02    -9.23419
       8.04    -6.72298
       8.06     -2.5461
       8.08     2.52089
        8.1     7.58324
       8.12    11.76505
       8.14    14.34708
       8.16    14.89153
       8.18    13.31424
        8.2     9.91838
       8.22     5.31475
       8.24     0.25131
       8.26    -4.52894
       8.28    -8.38479
        8.3   -10.86872
       8.32   -11.74196
       8.34   -10.95703
       8.36    -8.68845
       8.38    -5.33334
        8.4    -1.44153
       8.42     2.36801
       8.44      5.5287
       8.46     7.59683
       8.48     8.25893
        8.5     7.36538
       8.52     5.30443
       8.54     3.17447
       8.56     1.93402
       8.58     1.91298
        8.6     3.06422
       8.62     5.06052
       8.64     7.37916
       8.66     9.42732
       8.68    10.65658
        8.7    10.65841
       8.72     9.23116
       8.74     6.47309
       8.76     2.83999
       8.78    -1.01087
        8.8    -4.49866
       8.82    -7.20804
       8.84    -8.77352
       8.86    -8.96488
       8.88    -7.93628
        8.9    -6.17956
       8.92    -4.32589
       8.94    -3.07824
       8.96     -2.8395
       8.98    -2.85072
         9.    -1.93879
       9.02    -0.03802
       9.04      2.3135
       9.06     4.82828
       9.08     7.34494
        9.1     9.46306
       9.12    10.74069
       9.14    10.96588
       9.16     9.92281
       9.18     7.36512
        9.2     3.17429
       9.22    -2.59595
       9.24    -9.29639
       9.26   -15.43164
       9.28     -19.571
        9.3    -20.8963
       9.32   -18.93024
       9.34   -13.64112
       9.36     -5.5551
       9.38     4.33856
        9.4    14.64902
