 
 SAP2000 v18.2.0 File: FRAME  N, mm, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  NLDHIST_1g
 FUNCTION  Joint2-1:  Joint 2  Displacement  UX    
 
       TIME    FUNCTION
               Joint2-1
         0.     0.09637
       0.02     0.12583
       0.04     0.23622
       0.06      0.4293
       0.08     0.66292
        0.1     0.90234
       0.12     1.12657
       0.14     1.31098
       0.16     1.41667
       0.18      1.4052
        0.2     1.26117
       0.22     1.01712
       0.24     0.75466
       0.26     0.56254
       0.28     0.48752
        0.3     0.52436
       0.32     0.63709
       0.34     0.77335
       0.36     0.87384
       0.38      0.8987
        0.4     0.86416
       0.42     0.83499
       0.44     0.86786
       0.46     0.94027
       0.48     0.94352
        0.5     0.75963
       0.52      0.3881
       0.54    -0.00848
       0.56    -0.26023
       0.58    -0.27751
        0.6    -0.00739
       0.62     0.56437
       0.64     1.37927
       0.66     2.26125
       0.68     2.98173
        0.7     3.38225
       0.72     3.38333
       0.74     2.95342
       0.76     2.09515
       0.78     0.85416
        0.8    -0.66247
       0.82    -2.26839
       0.84    -3.73293
       0.86     -4.8824
       0.88    -5.61595
        0.9    -5.83794
       0.92    -5.46558
       0.94    -4.49394
       0.96    -3.02694
       0.98     -1.3143
         1.     0.27097
       1.02     1.34846
       1.04     1.61787
       1.06     0.92208
       1.08     -0.6649
        1.1    -2.82033
       1.12    -5.05139
       1.14    -6.83854
       1.16    -7.72276
       1.18    -7.21431
        1.2    -4.93531
       1.22    -1.05114
       1.24     3.67514
       1.26     8.21806
       1.28    11.56128
        1.3    12.90256
       1.32    11.81819
       1.34     8.32383
       1.36     2.85311
       1.38    -3.84948
        1.4   -10.85712
       1.42   -17.20816
       1.44   -21.99048
       1.46   -24.33145
       1.48   -23.59673
        1.5   -19.73344
       1.52   -13.38231
       1.54    -5.67713
       1.56     2.02321
       1.58     8.31734
        1.6    11.97613
       1.62    12.47308
       1.64    10.66315
       1.66     8.27391
       1.68       6.528
        1.7     5.86062
       1.72      6.3239
       1.74     7.69351
       1.76     9.61605
       1.78    11.73532
        1.8    13.69568
       1.82    15.13159
       1.84    15.63499
       1.86    14.85253
       1.88    12.63286
        1.9     9.04999
       1.92     4.36451
       1.94    -1.00572
       1.96    -6.53523
       1.98   -11.67936
         2.   -15.97023
       2.02   -19.09351
       2.04   -20.94507
       2.06   -21.64026
       2.08   -21.44653
        2.1   -20.70522
       2.12   -19.78552
       2.14   -18.85282
       2.16   -17.67141
       2.18   -15.05953
        2.2    -9.11715
       2.22     0.47146
       2.24     11.9522
       2.26     22.9828
       2.28    31.15889
        2.3     34.5027
       2.32    31.97964
       2.34    23.66439
       2.36    10.68094
       2.38     -5.0146
        2.4   -21.02486
       2.42   -34.57477
       2.44   -41.92045
       2.46    -40.0418
       2.48   -29.02683
        2.5   -11.30892
       2.52     9.44448
       2.54    28.86758
       2.56    43.21153
       2.58     50.6464
        2.6    50.83728
       2.62    44.02346
       2.64    31.38572
       2.66    15.04821
       2.68    -2.32724
        2.7   -17.88547
       2.72   -29.15545
       2.74   -34.44886
       2.76   -33.12387
       2.78   -25.74909
        2.8   -13.80476
       2.82     0.74615
       2.84    15.65294
       2.86    28.61373
       2.88    37.46768
        2.9    40.53905
       2.92    37.14435
       2.94    27.71603
       2.96    13.69477
       2.98    -2.66554
         3.   -18.71435
       3.02   -31.60964
       3.04   -38.65777
       3.06    -38.3952
       3.08   -31.06565
        3.1   -18.23679
       3.12    -2.49662
       3.14    13.03157
       3.16    25.30206
       3.18    31.87935
        3.2    31.76694
       3.22    25.60948
       3.24       14.73
       3.26     0.85492
       3.28   -13.81609
        3.3   -27.03247
       3.32    -36.8389
       3.34   -41.09864
       3.36   -37.57816
       3.38    -26.1252
        3.4    -9.11891
       3.42     9.94941
       3.44    27.13889
       3.46    39.39583
       3.48    45.49051
        3.5    44.99513
       3.52    37.97147
       3.54    25.55203
       3.56     9.74537
       3.58    -6.92738
        3.6    -21.7678
       3.62   -32.15019
       3.64   -36.09769
       3.66     -33.009
       3.68   -23.64754
        3.7    -9.89154
       3.72     5.56907
       3.74    19.73651
       3.76    29.89497
       3.78    34.27025
        3.8    32.38929
       3.82     24.9452
       3.84    13.41007
       3.86    -0.28488
       3.88     -13.949
        3.9   -25.45834
       3.92   -33.13314
       3.94    -36.0008
       3.96   -33.91961
       3.98   -27.16303
         4.   -16.22086
       4.02    -2.56345
       4.04     11.3314
       4.06    23.00973
       4.08    30.62749
        4.1    32.93734
       4.12    29.43014
       4.14    20.59046
       4.16     7.81922
       4.18    -6.82486
        4.2   -20.98201
       4.22   -32.41094
       4.24   -39.37938
       4.26   -40.96562
       4.28   -37.13775
        4.3   -28.69846
       4.32   -17.17601
       4.34    -4.42081
       4.36     8.30452
       4.38    20.04257
        4.4    28.98425
       4.42    33.28323
       4.44    32.35821
       4.46    26.99097
       4.48     18.9113
        4.5    10.04435
       4.52     1.89852
       4.54    -4.45197
       4.56    -8.32941
       4.58    -9.57841
        4.6     -8.5765
       4.62    -6.13813
       4.64    -3.33835
       4.66    -1.26818
       4.68    -0.18594
        4.7     0.64336
       4.72     1.52336
       4.74     2.03572
       4.76      1.7349
       4.78     0.22517
        4.8    -2.71797
       4.82    -7.07726
       4.84   -12.30155
       4.86   -16.36385
       4.88   -16.77614
        4.9   -12.84745
       4.92    -5.42069
       4.94       3.959
       4.96    13.53318
       4.98     22.1426
         5.    28.81703
       5.02    32.37659
       5.04    32.02055
       5.06    27.60615
       5.08    19.65112
        5.1     9.29108
       5.12    -1.83946
       5.14   -11.63268
       5.16   -17.99402
       5.18   -19.65743
        5.2   -16.40141
       5.22    -8.98818
       5.24     0.94365
       5.26    11.23149
       5.28    19.90413
        5.3    25.97181
       5.32    28.86096
       5.34     27.9209
       5.36    23.04505
       5.38    14.78744
        5.4     4.22812
       5.42    -7.14947
       5.44   -17.68762
       5.46   -25.62836
       5.48   -29.35452
        5.5   -27.92407
       5.52   -21.52939
       5.54   -11.50677
       5.56     0.06773
       5.58    10.83089
        5.6      18.566
       5.62    21.61897
       5.64    19.19786
       5.66    11.73394
       5.68      1.0207
        5.7   -10.38374
       5.72   -20.06672
       5.74   -26.28364
       5.76    -28.0601
       5.78   -25.13515
        5.8   -17.87667
       5.82    -7.34574
       5.84     4.67568
       5.86    16.06502
       5.88    24.86117
        5.9     29.5457
       5.92    29.25846
       5.94    23.96601
       5.96    14.44956
       5.98     2.19734
         6.   -10.67493
       6.02   -21.67455
       6.04    -28.5122
       6.06   -29.80283
       6.08   -25.48774
        6.1   -16.62757
       6.12    -4.87561
       6.14     7.79285
       6.16     19.1407
       6.18    27.03953
        6.2    29.96848
       6.22    27.29178
       6.24    19.51647
       6.26     8.27875
       6.28    -4.17405
        6.3   -15.55792
       6.32   -23.92416
       6.34   -27.87618
       6.36   -26.71627
       6.38   -20.63287
        6.4   -10.75445
       6.42     1.08835
       6.44     12.7278
       6.46    22.09894
       6.48    27.69273
        6.5    28.75858
       6.52     25.2337
       6.54    17.72013
       6.56     7.51987
       6.58    -3.57943
        6.6   -13.67246
       6.62   -21.11182
       6.64   -24.66874
       6.66    -23.6443
       6.68   -18.20385
        6.7    -9.37084
       6.72     1.28022
       6.74    11.86131
       6.76     20.4642
       6.78    25.50504
        6.8     26.0121
       6.82    21.79708
       6.84    13.44742
       6.86     2.23974
       6.88    -9.78403
        6.9   -20.05652
       6.92   -26.40347
       6.94    -27.7123
       6.96   -23.93614
       6.98   -15.89515
         7.    -4.97812
       7.02     7.09401
       7.04    18.36575
       7.06    26.83358
       7.08    30.84877
        7.1    29.53436
       7.12    22.97293
       7.14    12.20822
       7.16    -0.82743
       7.18   -13.58809
        7.2   -23.56509
       7.22   -28.94663
       7.24   -28.84228
       7.26    -23.3072
       7.28   -13.40136
        7.3    -1.01706
       7.32    11.52133
       7.34    21.87821
       7.36    28.15233
       7.38    29.29405
        7.4    25.26616
       7.42    16.86463
       7.44     5.46752
       7.46    -7.07522
       7.48   -18.54041
        7.5    -26.7283
       7.52   -30.05001
       7.54   -27.87357
       7.56    -20.6268
       7.58    -9.69508
        7.6     2.86034
       7.62    14.66595
       7.64    23.48587
       7.66    27.66326
       7.68    26.48154
        7.7    20.26752
       7.72    10.17366
       7.74    -2.10676
       7.76   -14.41892
       7.78   -24.43095
        7.8   -30.22129
       7.82   -30.56214
       7.84   -25.18251
       7.86   -14.94192
       7.88    -1.60421
        7.9    12.49721
       7.92    24.87657
       7.94    33.35615
       7.96    36.36306
       7.98    33.14023
         8.    24.18621
       8.02    11.36743
       8.04    -2.73487
       8.06   -15.55395
       8.08    -24.8969
        8.1   -29.18776
       8.12   -27.75224
       8.14   -20.93551
       8.16   -10.02398
       8.18     2.99441
        8.2     15.8126
       8.22    26.19109
       8.24    32.28813
       8.26    32.96524
       8.28    28.00805
        8.3     18.1685
       8.32      5.0796
       8.34    -8.98754
       8.36   -21.55711
       8.38   -30.42147
        8.4   -34.02822
       8.42   -31.75825
       8.44   -24.00805
       8.46   -12.13242
       8.48     1.74044
        8.5    15.07708
       8.52    25.74206
       8.54    32.61341
       8.56    35.11216
       8.58    32.96926
        8.6    26.56971
       8.62    16.96336
       8.64     5.70048
       8.66    -5.41078
       8.68   -14.61202
        8.7   -20.50091
       8.72   -22.27591
       8.74   -19.81151
       8.76   -13.59758
       8.78    -4.72383
        8.8     5.15238
       8.82    14.11187
       8.84    20.49893
       8.86    23.18708
       8.88    21.56211
        8.9    15.64378
       8.92     6.18972
       8.94    -5.48369
       8.96   -17.48583
       8.98   -26.89752
         9.   -30.90834
       9.02   -28.63379
       9.04   -20.75137
       9.06    -8.60809
       9.08     5.85575
        9.1     20.0671
       9.12    31.41196
       9.14    37.89687
       9.16    38.23037
       9.18    31.98303
        9.2    19.77209
       9.22     3.16818
       9.24   -15.15926
       9.26   -31.56388
       9.28   -42.73286
        9.3   -46.58247
       9.32   -42.21627
       9.34   -30.10155
       9.36   -12.08417
       9.38     8.95435
        9.4    29.51225
