 
 SAP2000 v18.2.0 File: FRAME  N, mm, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  MHIST1
 FUNCTION  Joint2-1:  Joint 2  Displacement  UX    
 
       TIME    FUNCTION
               Joint2-1
         0.          0.
        0.1    -0.02075
        0.2    -0.02044
        0.3     0.06892
        0.4    -0.02857
        0.5    -0.08099
        0.6     0.11877
        0.7    -0.00417
        0.8    -0.14805
        0.9     0.14273
         1.     0.04642
        1.1    -0.21032
        1.2      0.1376
        1.3     0.11495
        1.4    -0.25814
        1.5     0.10359
        1.6     0.19382
        1.7    -0.24928
        1.8     0.02621
        1.9     0.20843
         2.    -0.19561
        2.1    -0.03142
        2.2     0.20631
        2.3     -0.1407
        2.4    -0.07462
        2.5     0.19119
        2.6     -0.0884
        2.7    -0.10369
        2.8     0.16684
        2.9    -0.04156
         3.    -0.11975
        3.1     0.13683
        3.2    -0.00206
        3.3    -0.12455
        3.4     0.10434
        3.5     0.02909
        3.6    -0.12019
        3.7     0.07202
        3.8     0.05166
        3.9    -0.10893
         4.     0.04193
        4.1     0.06601
        4.2    -0.09298
        4.3     0.01557
        4.4     0.07298
        4.5    -0.07439
        4.6    -0.00615
        4.7     0.07369
        4.8    -0.05494
        4.9     -0.0228
         5.     0.06944
        5.1    -0.03607
        5.2     -0.0344
        5.3     0.06157
        5.4    -0.01891
        5.5    -0.04126
        5.6     0.05138
        5.7    -0.00419
        5.8    -0.04395
        5.9     0.04002
         6.     0.00764
        6.1     -0.0432
        6.2     0.02849
        6.3     0.01643
        6.4     -0.0398
        6.5     0.01757
        6.6     0.02226
        6.7    -0.03452
        6.8     0.00785
        6.9     0.02539
         7.    -0.02813
        7.1  -2.896E-04
        7.2     0.02619
        7.3    -0.02128
        7.4    -0.00667
        7.5     0.02511
        7.6     -0.0145
        7.7    -0.01124
        7.8     0.02263
        7.9    -0.00824
         8.     -0.0141
        8.1      0.0192
        8.2    -0.00278
        8.3    -0.01542
        8.4     0.01525
        8.5     0.00169
        8.6    -0.01546
        8.7     0.01116
        8.8     0.00508
        8.9    -0.01448
         9.     0.00722
        9.1     0.00742
        9.2    -0.01276
        9.3     0.00365
        9.4     0.00877
        9.5    -0.01058
        9.6   6.097E-04
        9.7     0.00926
        9.8    -0.00818
        9.9    -0.00182
        10.     0.00904
