 
 SAP2000 v18.2.0 File: FRAME  N, mm, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  MHIST1.5
 FUNCTION  Joint2-1:  Joint 2  Displacement  UX    
 
       TIME    FUNCTION
               Joint2-1
         0.          0.
        0.1   -22.53572
        0.2    22.19987
        0.3    -1.15175
        0.4    -18.5126
        0.5    17.81177
        0.6     0.94147
        0.7   -18.09241
        0.8    17.11744
        0.9    -0.41603
         1.   -14.53571
        1.1     13.3612
        1.2     1.50663
        1.3   -14.53488
        1.4    13.22171
        1.5     0.00838
        1.6   -11.35497
        1.7     9.95249
        1.8     1.81549
        1.9   -11.69247
         2.    10.24035
        2.1     0.22292
        2.2    -8.81616
        2.3     7.34599
        2.4     1.95358
        2.5    -9.42593
        2.6     7.96253
        2.7     0.29956
        2.8    -6.79364
        2.9     5.35625
         3.      1.9813
        3.1    14.91375
        3.2   -15.97467
        3.3     1.44057
        3.4    13.32724
        3.5   -13.97179
        3.6      0.9993
        3.7    11.90362
        3.8   -12.21497
        3.9     0.64171
         4.    10.62696
        4.1   -10.67457
        4.2      0.3543
        4.3     9.48275
        4.4    -9.32442
        4.5     0.12559
        4.6     8.45786
        4.7    -8.14148
        4.8    -0.05419
        4.9     7.54034
         5.    -7.10544
        5.1    -0.19335
        5.2     6.71939
        5.3    -6.19842
        5.4    -0.29891
        5.5     5.98524
        5.6    -5.40465
        5.7    -0.37684
        5.8     5.32905
        5.9    -4.71028
         6.    -0.43215
        6.1     4.74282
        6.2    -4.10312
        6.3    -0.46908
        6.4     4.21936
        6.5    -3.57242
        6.6    -0.49117
        6.7     3.75216
        6.8    -3.10876
        6.9     -0.5014
         7.     3.33538
        7.1    -2.70385
        7.2    -0.50226
        7.3     2.96374
        7.4    -2.35039
        7.5    -0.49582
        7.6      2.6325
        7.7    -2.04199
        7.8    -0.48377
        7.9     2.33739
         8.    -1.77303
        8.1    -0.46755
        8.2     2.07459
        8.3    -1.53858
        8.4    -0.44829
        8.5     1.84066
        8.6    -1.33431
        8.7    -0.42695
        8.8     1.63251
        8.9    -1.15641
         9.     -0.4043
        9.1     1.44737
        9.2    -1.00157
        9.3    -0.38093
        9.4     1.28277
        9.5    -0.86687
        9.6    -0.35735
        9.7     1.13649
        9.8    -0.74975
        9.9    -0.33394
        10.     1.00653
