 
 SAP2000 v18.2.0 File: FRAME  N, mm, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  MHIST1
 FUNCTION  Joint2-1:  Joint 2  Displacement  UX    
 
       TIME    FUNCTION
               Joint2-1
         0.          0.
        0.1   -20.78908
        0.2    -13.3388
        0.3     65.6969
        0.4   -50.92263
        0.5   -45.17508
        0.6    123.6257
        0.7   -76.60881
        0.8   -74.08616
        0.9   174.68778
         1.   -98.46966
        1.1  -100.31091
        1.2     219.682
        1.3   -117.0435
        1.4  -124.07331
        1.5   259.31605
        1.6  -132.79589
        1.7  -145.58256
        1.8   294.21671
        1.9  -146.12915
         2.  -165.03341
        2.1   324.93886
        2.2  -157.39067
        2.3  -182.60662
        2.4   351.97356
        2.5   -166.8802
        2.6  -198.46945
        2.7   375.75526
        2.8  -174.85613
        2.9  -212.77633
         3.   396.66819
        3.1  -160.75193
        3.2  -212.33069
        3.3   349.35513
        3.4  -136.20371
        3.5   -192.1046
        3.6    307.5813
        3.7  -115.16796
        3.8  -173.64065
        3.9   270.71055
         4.     -97.164
        4.1  -156.80981
        4.2    238.1783
        4.3   -81.77479
        4.4  -141.48849
        4.5   209.48365
        4.6    -68.6387
        4.7  -127.55912
        4.8   184.18239
        4.9   -57.44233
         5.  -114.91048
        5.1   161.88071
        5.2   -47.91429
        5.3  -103.43785
        5.4   142.22959
        5.5   -39.81972
        5.6   -93.04306
        5.7   124.91985
        5.8    -32.9555
        5.9   -83.63445
         6.   109.67767
        6.1   -27.14613
        6.2    -75.1267
        6.3    96.26064
        6.4   -22.24007
        6.5   -67.44062
        6.6    84.45422
        6.7   -18.10656
        6.8   -60.50297
        6.9    74.06864
         7.   -14.63289
        7.1   -54.24611
        7.2    64.93606
        7.3   -11.72201
        7.4   -48.60778
        7.5    56.90807
        7.6    -9.29038
        7.7   -43.53073
        7.8    49.85355
        7.9     -7.2662
         8.   -38.96246
        8.1    43.65664
        8.2    -5.58783
        8.3   -34.85491
        8.4      38.215
        8.5    -4.20239
        8.6   -31.16414
        8.7     33.4383
        8.8    -3.06455
        8.9   -27.85004
         9.    29.24679
        9.1    -2.13555
        9.2   -24.87606
        9.3    25.57015
        9.4    -1.38225
        9.5   -22.20894
        9.6     22.3463
        9.7    -0.77638
        9.8   -19.81844
        9.9    19.52056
        10.    -0.29382
