 
 SAP2000 v18.2.0 File: FRAME  N, mm, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  MHIST2
 FUNCTION  Joint2-1:  Joint 2  Displacement  UX    
 
       TIME    FUNCTION
               Joint2-1
         0.          0.
        0.1   -18.70579
        0.2    18.06571
        0.3      0.2617
        0.4   -17.37957
        0.5     16.5665
        0.6     0.46444
        0.7   -16.19291
        0.8    15.25395
        0.9     0.61842
         1.   -15.13169
        1.1    14.10527
        1.2     0.73227
        1.3   -14.18312
        1.4    13.10042
        1.5     0.81328
        1.6   -13.33568
        1.7    12.22173
        1.8     0.86757
        1.9   -12.57895
         2.     11.4537
        2.1     0.90031
        2.2   -11.90355
        2.3    10.78268
        2.4      0.9158
        2.5     -11.301
        2.6    10.19665
        2.7     0.91766
        2.8   -10.76371
        2.9     9.68509
         3.     0.90887
        3.1     8.42098
        3.2    -8.82698
        3.3     0.63022
        3.4     7.52142
        3.5    -7.71705
        3.6     0.40443
        3.7     6.71473
        3.8    -6.74385
        3.9     0.22296
         4.     5.99173
        4.1    -5.89085
        4.2     0.07856
        4.3     5.34413
        4.4     -5.1435
        4.5    -0.03493
        4.6     4.76438
        4.7    -4.48895
        4.8    -0.12277
        4.9     4.24565
         5.    -3.91591
        5.1     -0.1894
        5.2     3.78177
        5.3    -3.41443
        5.4    -0.23857
        5.5     3.36714
        5.6    -2.97575
        5.7    -0.27346
        5.8     2.99673
        5.9    -2.59216
         6.    -0.29674
        6.1     2.66597
        6.2    -2.25688
        6.3    -0.31065
        6.4     2.37077
        6.5    -1.96396
        6.6    -0.31708
        6.7     2.10743
        6.8    -1.70815
        6.9    -0.31759
         7.      1.8726
        7.1    -1.48485
        7.2    -0.31348
        7.3     1.66331
        7.4    -1.29002
        7.5    -0.30585
        7.6     1.47685
        7.7     -1.1201
        7.8    -0.29557
        7.9      1.3108
         8.    -0.97198
        8.1    -0.28338
        8.2     1.16299
        8.3    -0.84293
        8.4    -0.26988
        8.5     1.03147
        8.6    -0.73054
        8.7    -0.25555
        8.8     0.91449
        8.9    -0.63272
         9.    -0.24078
        9.1     0.81049
        9.2    -0.54762
        9.3    -0.22587
        9.4     0.71806
        9.5    -0.47363
        9.6    -0.21106
        9.7     0.63595
        9.8    -0.40933
        9.9    -0.19655
        10.     0.56304
