 
 SAP2000 v18.2.0 File: FRAME  N, mm, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  MHIST1.5
 FUNCTION  Joint2-1:  Joint 2  Displacement  UX    
 
       TIME    FUNCTION
               Joint2-1
         0.          0.
        0.1    -0.02315
        0.2     0.01734
        0.3     0.01129
        0.4    -0.03191
        0.5     0.02479
        0.6    -0.00211
        0.7    -0.00793
        0.8    -0.00658
        0.9      0.0294
         1.    -0.03617
        1.1     0.02993
        1.2     0.01139
        1.3    -0.03698
        1.4     0.01991
        1.5     0.01775
        1.6    -0.03296
        1.7     0.01074
        1.8     0.02158
        1.9    -0.02766
         2.     0.00283
        2.1     0.02319
        2.2    -0.02168
        2.3    -0.00356
        2.4     0.02293
        2.5    -0.01558
        2.6    -0.00834
        2.7     0.02124
        2.8    -0.00977
        2.9    -0.01156
         3.     0.01852
        3.1    -0.00457
        3.2    -0.01333
        3.3     0.01518
        3.4  -1.854E-04
        3.5    -0.01385
        3.6     0.01156
        3.7     0.00327
        3.8    -0.01336
        3.9     0.00797
         4.     0.00577
        4.1     -0.0121
        4.2     0.00463
        4.3     0.00735
        4.4    -0.01032
        4.5      0.0017
        4.6     0.00812
        4.7    -0.00825
        4.8  -7.076E-04
        4.9     0.00819
         5.    -0.00609
        5.1    -0.00255
        5.2     0.00771
        5.3    -0.00399
        5.4    -0.00384
        5.5     0.00684
        5.6    -0.00208
        5.7    -0.00459
        5.8      0.0057
        5.9  -4.497E-04
         6.    -0.00489
        6.1     0.00444
        6.2   8.621E-04
        6.3     -0.0048
        6.4     0.00315
        6.5     0.00184
        6.6    -0.00442
        6.7     0.00194
        6.8     0.00248
        6.9    -0.00383
         7.   8.624E-04
        7.1     0.00283
        7.2    -0.00312
        7.3  -4.122E-05
        7.4     0.00291
        7.5    -0.00236
        7.6  -7.481E-04
        7.7     0.00279
        7.8     -0.0016
        7.9    -0.00125
         8.     0.00251
        8.1  -9.089E-04
        8.2    -0.00157
        8.3     0.00213
        8.4  -3.032E-04
        8.5    -0.00172
        8.6     0.00169
        8.7   1.923E-04
        8.8    -0.00172
        8.9     0.00124
         9.   5.689E-04
        9.1    -0.00161
        9.2   7.978E-04
        9.3   8.275E-04
        9.4    -0.00142
        9.5   4.017E-04
        9.6   9.767E-04
        9.7    -0.00117
        9.8   6.441E-05
        9.9     0.00103
        10.  -9.066E-04
