 
 SAP2000 v18.2.0 File: FRAME  N, mm, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  MHIST2
 FUNCTION  Joint2-1:  Joint 2  Displacement  UX    
 
       TIME    FUNCTION
               Joint2-1
         0.          0.
        0.1     -0.0201
        0.2     0.01931
        0.3  -3.006E-04
        0.4    -0.01661
        0.5     0.01568
        0.6  -7.381E-04
        0.7    -0.01159
        0.8     0.01101
        0.9     0.01728
         1.    -0.02437
        1.1      0.0041
        1.2     0.01911
        1.3     -0.0195
        1.4    -0.00159
        1.5      0.0193
        1.6    -0.01441
        1.7    -0.00596
        1.8     0.01819
        1.9    -0.00946
         2.      -0.009
        2.1     0.01613
        2.2    -0.00497
        2.3     -0.0108
        2.4     0.01347
        2.5    -0.00111
        2.6    -0.01151
        2.7     0.01049
        2.8     0.00199
        2.9    -0.01132
         3.     0.00747
        3.1      0.0043
        3.2    -0.01043
        3.3     0.00461
        3.4     0.00583
        3.5    -0.00905
        3.6     0.00207
        3.7     0.00665
        3.8    -0.00737
        3.9  -6.888E-05
         4.     0.00686
        4.1    -0.00558
        4.2    -0.00174
        4.3     0.00658
        4.4     -0.0038
        4.5    -0.00294
        4.6     0.00593
        4.7    -0.00216
        4.8    -0.00369
        4.9     0.00503
         5.  -7.332E-04
        5.1    -0.00404
        5.2       0.004
        5.3   4.377E-04
        5.4    -0.00405
        5.5     0.00293
        5.6     0.00133
        5.7    -0.00379
        5.8     0.00189
        5.9     0.00194
         6.    -0.00334
        6.1   9.588E-04
        6.2      0.0023
        6.3    -0.00277
        6.4   1.623E-04
        6.5     0.00243
        6.6    -0.00214
        6.7  -4.738E-04
        6.8     0.00237
        6.9    -0.00151
         7.  -9.425E-04
        7.1     0.00217
        7.2  -9.144E-04
        7.3    -0.00125
        7.4     0.00187
        7.5  -3.864E-04
        7.6    -0.00141
        7.7     0.00151
        7.8   5.344E-05
        7.9    -0.00144
         8.     0.00114
        8.1   3.954E-04
        8.2    -0.00137
        8.3   7.650E-04
        8.4   6.381E-04
        8.5    -0.00123
        8.6   4.234E-04
        8.7   7.872E-04
        8.8    -0.00104
        8.9   1.276E-04
         9.   8.528E-04
        9.1  -8.191E-04
        9.2  -1.131E-04
        9.3   8.488E-04
        9.4  -5.937E-04
        9.5  -2.948E-04
        9.6   7.902E-04
        9.7  -3.780E-04
        9.8  -4.182E-04
        9.9   6.927E-04
        10.  -1.839E-04
